MFCC1_S1,MFCC6_S1,MFCC2_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC5_Sys,MFCC6_Sys,MFCC13_Sys,MFCC1_Dias,MFCC3_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomPos4,atomLen6,atomFreq6,atomPos6,atomLen7,atomLen11,atomFreq11,atomFreq15,LPC_Coefficient2,LPC_Coefficient4,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient14,Class
-6.2211,-0.4027,6.1046,1.2237,0.077472,-0.27814,-0.21645,-0.18055,-0.06197,-15.59,1.0095,-0.017311,-0.061267,0.062638,-0.029485,-0.040419,0.01148,472.42,122.95,0.021176,288.11,143.16,199.58,0.021279,0.023797,-0.7047,-0.0047608,0.034277,0.0018256,0.0044065,normal
-9.9166,0.10914,5.7997,1.3449,0.32265,0.089634,-0.1352,0.030876,-0.07058,-17.177,1.8406,-0.078035,0.18714,0.18135,0.04584,-0.085305,-0.0099205,237,171.43,0.022252,475.71,198.86,182.86,0.017578,0.026786,-0.59124,-0.07997,0.055608,0.049061,-0.022344,normal
-2.8026,0.085436,5.2449,1.6169,0.31048,0.48544,-0.38221,0.60338,-0.011276,-8.4822,-0.5,-0.36297,0.81604,0.0099709,-0.097611,-0.0098679,0.00031062,411.37,162.53,0.012695,234.63,176,243.37,0.013929,0.022101,-0.54089,-0.091804,0.066508,0.043132,-0.012697,abnormal
-6.7164,-0.24776,5.5258,1.6318,0.60951,0.15125,0.090123,-0.26463,0.0080116,-16.372,2.9912,0.90731,0.25125,-0.088772,0.00073796,0.018747,0.032934,255.12,210,0.014526,347.12,243,189,0.021057,0.022949,-0.58925,-0.086128,0.070538,0.050092,-0.019893,abnormal
-6.433,0.22915,5.7299,1.2652,0.23549,0.21151,0.16834,0.41061,-0.078756,-9.4868,2.0495,0.1488,0.3955,0.058488,-0.076609,-0.087455,0.084578,353.26,236.63,0.01213,447.79,176,217.26,0.015831,0.019428,-0.57295,-0.097496,0.043821,0.036065,-0.0019936,abnormal
-3.2093,0.007204,5.8173,1.0112,0.21436,-0.0063775,0.035686,0.048263,-0.07349,-8.3407,2.3508,0.049712,0.12568,0.11241,-0.016493,-0.064225,-0.014496,300.65,218.84,0.014365,332.9,307.61,239.48,0.020917,0.019216,-0.50286,-0.10445,0.053584,0.048671,-0.0060233,normal
-10.611,-0.02072,5.8017,1.2533,0.25683,0.038545,0.15763,0.31876,-0.048931,-15.734,1.13,0.19378,0.3081,0.16395,-0.02492,-0.030724,0.015482,215.16,157.47,0.018606,457.68,187.79,219.79,0.017424,0.020816,-0.6618,-0.059444,0.034384,0.018842,-0.0087846,abnormal
-6.2532,0.21436,5.4208,1.5467,0.72334,0.25882,0.56742,0.10148,-0.025731,-17.154,3.0283,0.76543,0.21125,-0.012293,-0.044287,-0.016627,-0.0042787,181.64,218.18,0.016246,253.27,173.09,256,0.014382,0.019531,-0.56202,-0.067242,0.050319,0.030091,-0.012309,abnormal
-6.8862,-0.08328,5.8862,1.1591,0.24234,0.016991,0.2263,0.03646,-0.03411,-16.033,2.0517,0.33266,0.15615,0.11824,0.0070523,-0.044092,0.0016224,129.71,167.31,0.018025,291.54,178.29,164.57,0.018248,0.02221,-0.80915,-0.0014201,0.035683,0.012098,-0.0050481,normal
-1.9234,0.049844,5.9434,0.94807,0.086544,0.17841,-0.16015,0.14085,-0.041679,-9.426,1.1644,0.044283,0.1027,0.064257,0.006705,-0.057453,0.008427,176.29,183.85,0.018608,258.04,199.56,158.84,0.019141,0.023366,-0.7612,-0.0037201,0.027924,0.011927,-0.0080065,abnormal
-10.809,0.23872,5.9193,1.0487,0.51086,0.15407,0.35395,0.145,-0.036547,-16.089,2.2424,0.41767,0.15072,0.10862,-0.021294,-0.039605,-0.0099805,390.19,231.23,0.014491,405.94,241.55,206.45,0.018397,0.016066,-0.6034,-0.11802,0.065184,0.048905,-0.015183,abnormal
-5.5736,0.20714,5.5604,1.3764,0.26921,0.1839,-0.52632,0.41864,-0.019887,-15.735,0.92793,0.45116,0.3597,0.24116,-0.052601,-0.051199,0.012112,354.62,194.21,0.014952,340.69,212.97,205.24,0.017511,0.017848,-0.59646,-0.075851,0.049478,0.036732,-0.0010015,abnormal
-3.4291,-0.056012,5.9155,1.0585,0.00010238,-0.013442,-0.32272,0.17837,-0.031598,-9.4212,1.7101,0.20759,0.097288,0.031081,-0.017903,-0.033993,-0.0084277,298.43,274.09,0.016474,308.52,193.39,182.26,0.019701,0.021315,-0.64183,-0.046884,0.052323,0.030412,-0.0025494,abnormal
2.4358,-0.3087,5.9808,0.66374,-0.68275,-0.40927,-1.3332,-0.19803,-0.005591,-12.993,1.7242,0.40324,0.23792,0.13035,-0.015891,-0.03115,0.029937,95.667,230.67,0.020264,209.5,164,114.67,0.032715,0.03304,-0.62044,0.03089,0.040842,0.045767,0.0021761,abnormal
-5.0421,0.14571,5.7093,1.3352,0.56712,0.23261,0.075213,0.15704,-0.064585,-12.737,2.0733,0.1606,0.26349,0.16632,-0.0079754,-0.093463,0.022855,246.06,245.33,0.011778,198.3,174.55,181.33,0.01888,0.022135,-0.50231,-0.1013,0.055242,0.043027,-0.0073906,normal
-10.269,0.095559,5.8364,1.0056,0.2267,0.069292,-0.16742,0.00059278,-0.035441,-15.932,0.91208,0.00098894,0.17608,0.12213,-0.081866,-0.033659,0.021745,330.9,248.8,0.013623,227.8,198.4,177.6,0.018018,0.018652,-0.75324,-0.039611,0.048889,0.020515,-0.0040317,abnormal
-5.8497,-0.0070845,6.0053,1.0788,0.30196,-0.16204,-0.023552,-0.15449,-0.048278,-17.321,1.0778,0.18542,-0.061393,0.15068,0.0057239,-0.050797,-0.0015462,112,200.89,0.012804,168.44,195.56,143.11,0.020074,0.021484,-0.4876,-0.078417,0.053078,0.042349,-0.012115,normal
-10.169,0.18141,5.5839,1.3677,0.3907,0.20142,0.078082,0.20156,-0.10096,-16.022,2.0344,0.16879,0.22053,0.097293,0.024487,-0.098278,0.013532,292,233.6,0.016992,300,168.53,209.07,0.017839,0.019206,-0.67212,-0.063114,0.050028,0.02937,-0.0097935,normal
-9.3898,-0.11897,5.693,1.3261,0.25634,-0.036088,-0.0030782,-0.010683,-0.054113,-15.149,1.8507,-0.025794,-0.028754,0.12788,-0.018368,-0.062392,-0.012142,224,154.11,0.016036,250.32,212.21,189.47,0.017732,0.021896,-0.57954,-0.049886,0.046926,0.028412,-0.0021409,normal
-5.583,0.06866,5.1159,1.6384,0.79602,0.37806,0.28721,0.2447,-0.064233,-12.508,1.4099,0.5831,0.39873,0.33029,-0.042947,-0.044745,0.018447,220.26,239.66,0.015209,331.91,203.57,205.62,0.015916,0.019656,-0.60952,-0.071277,0.056602,0.031139,-0.0046332,abnormal
-5.6611,-0.25775,6.0591,0.9895,-0.3199,-0.19419,-0.62443,-0.18515,-0.066279,-13.707,0.69855,-0.23975,0.1132,0.084234,-0.015949,-0.063829,0.0014639,216.84,182.74,0.017116,421.37,272,181.89,0.020765,0.025493,-0.9395,0.065552,0.0080567,-0.030055,0.0080733,abnormal
-4.5685,0.14009,5.6397,1.1527,0.21842,0.21433,-0.15222,0.42278,-0.17371,-11.599,1.8676,-0.11209,0.51868,0.20647,0.096328,-0.17156,0.09271,275.75,242,0.014587,238.25,203,195,0.020813,0.013916,-0.80717,-0.05782,0.042874,0.023263,-0.0056434,normal
-7.0348,-0.16228,5.4365,1.8011,0.011723,0.089518,-0.54069,0.53876,-0.02153,-16.752,1.8624,0.50627,0.41825,0.050877,0.0048961,-0.081698,0.011099,273.33,250.67,0.013607,365.6,185.6,221.87,0.019141,0.018424,-0.90689,0.041222,0.022987,-0.020616,0.012537,abnormal
-3.6425,0.017931,5.9258,0.97889,0.29667,0.17982,-0.068258,0.042921,-0.076982,-8.0717,1.3396,0.034836,0.26056,0.16523,0.014143,-0.10379,0.021694,199.35,203.35,0.014743,306.45,230.19,199.23,0.01594,0.023627,-0.57919,-0.086781,0.067352,0.047833,-0.013219,abnormal
-7.7396,0.097042,5.8117,1.1994,0.35046,0.14805,0.04164,0.056108,-0.078542,-11.824,1.5765,0.11096,0.1077,0.020528,-0.11698,-0.083429,0.032944,161.5,208,0.012756,408.25,253,231,0.013611,0.017761,-0.64467,-0.070271,0.053999,0.031087,-0.0040723,normal
-5.9794,-0.28685,5.9066,1.1377,-0.12341,-0.12438,-0.60146,-0.018649,-0.06004,-13.264,1.2754,-0.0035504,0.10833,-0.012108,0.00088887,-0.033479,-0.01962,292.32,143.57,0.018898,298.81,161.73,234.38,0.022593,0.025918,-0.85074,0.056765,0.0026907,-0.0099149,0.0025092,abnormal
-7.108,-0.032682,5.677,1.3347,0.18976,0.011034,-0.18998,-0.095068,-0.053887,-13.456,1.9448,-0.037356,0.02052,0.22357,-0.016939,-0.045838,0.0020216,352.77,181.11,0.009641,206.81,245.11,212.43,0.016124,0.018991,-0.55701,-0.093776,0.061401,0.040586,-0.0094112,abnormal
-5.1274,0.082617,5.6985,1.3011,0.59386,0.11811,0.36741,0.072118,0.0014169,-8.8337,1.9871,0.32049,0.10331,0.028109,-0.017283,-0.027507,0.0021021,301.91,234.43,0.012441,311.83,234.43,215.65,0.017069,0.019616,-0.66629,-0.092177,0.048405,0.032598,-0.0071866,normal
-18.93,0.28631,5.322,1.5041,0.58993,0.38683,0.13656,0.2762,-0.0363,-24.887,0.64911,0.21385,0.38487,0.16735,-0.034959,-0.027002,-0.014591,210.86,232.23,0.013783,383.09,202.06,174.63,0.015067,0.020313,-0.688,-0.041437,0.047105,0.020414,-0.0012832,abnormal
-4.9783,-0.057205,6.2151,0.88456,-0.35117,-0.057664,-0.36124,0.21204,-0.099148,-10.013,1.3179,-0.2215,0.32936,0.0011471,0.040373,-0.091732,0.04026,211.76,161.31,0.012636,326.69,240.98,178.94,0.022959,0.022122,-0.59801,-0.08955,0.061399,0.046415,-0.010456,abnormal
-8.1775,0.092308,5.8856,1.1174,-0.14736,-0.11901,-0.30912,-0.008926,-0.042068,-13.517,1.3922,-0.202,0.14527,0.12722,0.0037161,-0.09351,0.0086713,214.67,292.44,0.012587,275.33,197.33,181.33,0.014106,0.021864,-0.64552,-0.085326,0.057506,0.031346,-0.0061908,abnormal
-4.8523,0.23863,5.4551,1.4587,0.47522,0.14288,-0.14427,-0.087616,-0.10536,-11.839,1.0214,-0.21886,0.075177,0.55133,0.025443,-0.061782,0.06315,313.4,232.8,0.01958,230,194.4,259.2,0.018799,0.022559,-0.76799,-0.022164,0.044916,0.013437,-0.01219,abnormal
-8.119,-0.089809,5.5286,1.4275,0.50945,0.023303,0.093421,-0.06018,-0.046701,-18.022,2.1241,0.41479,0.20418,0.20792,-0.021626,-0.046451,-0.015502,146,178.29,0.017811,377.71,215.62,168.38,0.021903,0.023019,-0.71684,-0.037276,0.040073,0.013828,0.0064263,abnormal
-5.9754,0.16284,6.2899,0.82915,-0.272,-0.050497,-0.3613,-0.030472,-0.061821,-9.0409,0.55067,-0.06923,0.23213,0.13533,0.015178,-0.066785,0.0059191,383.11,228.74,0.013021,509.33,283.26,208.59,0.021701,0.024089,-0.76826,-0.035029,0.051385,0.014485,-0.0079348,abnormal
-6.6981,-0.41044,6.0663,1.1364,0.0070927,0.071818,-0.3209,-0.37383,-0.091844,-19.018,1.7328,-0.10253,0.29879,0.084591,0.10315,-0.13869,0.024703,205.45,187.15,0.022195,332.48,229.82,241.45,0.022431,0.018584,-1.0086,0.11626,-0.025067,-0.02823,0.019085,abnormal
-6.0077,-0.02579,5.72,1.3072,0.49492,0.043868,0.26581,-0.021402,-0.026203,-14.843,2.0074,0.53113,0.23177,0.14018,-0.032436,-0.024606,0.013318,265.42,172.8,0.015061,264.09,145.07,158.58,0.017578,0.020703,-0.47688,-0.084705,0.05473,0.042904,-0.013813,abnormal
2.2795,0.15877,3.6971,1.7083,-0.68501,0.30737,-0.72946,0.32168,0.018856,1.6935,-1.21,-0.70837,0.3375,-0.12243,-0.090547,0.027325,-0.044601,783.53,151.22,0.3022,860.24,145.57,215.84,0.26432,0.25843,1.0186,0.84678,0.52654,0.44841,0.094284,abnormal
-6.3215,-0.21862,5.3279,1.913,0.56798,0.089948,0.15845,-0.22884,0.011243,-13.411,1.7258,0.11499,0.010359,0.65015,-0.065744,0.00030616,0.013969,274.73,188.36,0.014915,264,256.73,202.91,0.014426,0.018688,-0.55418,-0.10969,0.071752,0.05301,-0.0089419,abnormal
-3.5624,0.16023,5.9046,1.1158,0.13455,-0.0071142,-0.18621,0.10677,-0.085107,-9.5586,1.3617,-0.24956,0.11967,0.1223,-0.0046335,-0.082169,0.026238,335.76,224.97,0.017164,222.79,201.7,192,0.015743,0.013849,-0.71723,-0.029508,0.031333,0.015181,-0.0015733,normal
-2.891,0.17526,5.2044,1.8447,0.88534,0.26077,0.71083,0.18265,-0.018059,-12.866,3.029,0.76339,0.17906,-0.051851,-0.0081801,-0.0085996,0.0098085,202.44,198.22,0.014757,282.67,218.67,233.78,0.015137,0.021701,-0.57787,-0.058051,0.040461,0.025515,-0.0052706,normal
-6.9589,0.19297,4.7906,1.8947,0.18388,0.34158,0.15124,0.38921,-0.061809,-8.7756,1.3709,0.14983,0.34487,0.072438,-0.0052224,-0.040479,0.0078608,590.82,158.12,0.28359,632.39,189.49,218.98,0.31759,0.31522,0.99736,0.71189,0.42993,0.38023,0.1534,abnormal
-8.094,-0.1007,5.1157,1.9183,0.78365,0.23371,0.066515,0.18609,0.02193,-13.886,1.8537,0.48377,0.40369,-0.020041,-0.056329,0.005079,-0.0056303,427.6,133.6,0.018652,253.1,176,188.8,0.019922,0.023828,-0.4409,-0.10452,0.062466,0.052599,-0.011575,abnormal
-2.7233,0.10033,6.0513,0.97786,0.30167,0.043978,0.36967,0.24244,-0.052714,-8.1325,2.449,0.40446,0.23626,0.10676,-0.039556,-0.063336,0.0056912,285.56,232,0.012858,350.67,246.22,213.33,0.017741,0.020182,-0.61989,-0.11437,0.055329,0.045325,-0.016988,normal
-6.178,0.042306,6.1031,0.91978,0.07616,0.0069457,-0.033044,0.04589,-0.025314,-11.509,1.5364,-0.055995,0.10179,0.060037,-0.0078014,-0.063727,0.016776,417.3,254.51,0.011174,385.49,206.88,162.23,0.014399,0.019622,-0.77728,-0.0088746,0.033534,0.0040302,0.0043588,abnormal
-3.8874,0.0034368,5.7397,1.2663,0.56812,0.11069,0.49057,0.22624,-0.030157,-12.559,2.1455,0.51494,0.19789,0.066308,-0.032628,-0.029507,-0.0096011,130.09,174.33,0.017345,139.64,195.82,156.66,0.025886,0.026732,-0.56168,-0.029674,0.046964,0.03284,-0.010501,normal
-18.386,0.19486,5.6415,1.2915,0.36158,0.15915,0.062953,0.018533,-0.018814,-24.207,1.4034,0.024397,0.0072779,0.094002,0.017312,-0.017237,0.032616,144.24,168.47,0.014591,259.65,224,182.59,0.017521,0.017233,-0.72752,-0.067091,0.052719,0.02397,-0.0030599,abnormal
-4.9061,0.06878,6.0055,0.88336,0.2709,0.040408,0.2528,0.052319,-0.013884,-15.801,2.6172,0.47333,0.08748,0.053574,-0.041577,-0.036896,-0.015049,440.09,154.18,0.015225,208.27,137.45,200.73,0.018954,0.02255,-0.51273,-0.09544,0.062928,0.042871,-0.0070584,abnormal
-4.1197,-0.031561,5.8167,1.3724,0.31369,0.055808,-0.033012,0.094319,-0.03272,-9.505,1.3459,-0.028591,0.17253,0.23042,-0.028338,-0.077958,0.016001,366.91,250.18,0.015714,261.45,174.55,197.82,0.018377,0.021839,-0.72249,-0.030065,0.052137,0.026383,-0.00078026,abnormal
-3.6511,0.26682,5.7529,1.0957,0.4548,0.070847,0.087437,0.33279,-0.061029,-11.571,2.1131,0.74796,0.12404,0.1477,-0.022347,-0.052339,-0.021981,505.33,250.67,0.014193,341.87,173.87,205.87,0.014128,0.019466,-0.71072,-0.070657,0.053631,0.022965,-0.001667,abnormal
-11.608,-0.40472,6.1979,1.2242,-0.2566,-0.53008,-0.25328,-0.29246,-0.061521,-16.174,1.3096,-0.17774,-0.31532,-0.14454,0.0025808,-0.06212,-0.01922,370.78,123.56,0.021484,421.78,145.78,159.11,0.021376,0.022732,-0.71792,-0.004247,0.033673,0.0057361,0.0029927,abnormal
-4.4944,-0.095321,5.6613,1.5071,0.56349,-0.025158,0.19309,-0.090312,-0.045232,-15.99,1.9616,0.25956,0.043503,0.14106,-0.0299,-0.057077,-0.016217,92.757,160.86,0.019003,145.3,199.78,174.7,0.016364,0.021643,-0.71944,-0.046299,0.057679,0.02214,-0.010227,abnormal
-9.4475,0.13718,6.1262,0.94008,0.18547,-0.1158,0.20102,0.088731,-0.058648,-16.325,1.8675,0.52561,0.19897,0.14926,-0.026457,-0.037303,0.0039941,378.92,215.35,0.0142,296.43,235.24,179.89,0.019742,0.01742,-0.76059,-0.019713,0.033584,0.0062388,-0.00085053,abnormal
-9.4608,0.28137,5.5811,1.5729,0.44427,0.20502,-0.17888,0.37269,-0.015187,-11.458,0.036785,-0.22772,0.44876,0.11754,-0.056463,-0.024699,-0.030833,549.05,213.05,0.015265,431.37,234.11,175.16,0.016961,0.020456,-0.6038,-0.088392,0.049758,0.035119,-0.003546,abnormal
-8.3275,0.086913,5.2471,1.6618,0.64199,0.21754,0.36683,0.4047,-0.12036,-14.129,1.8953,0.38627,0.52623,0.11891,-0.019897,-0.116,0.054112,274.81,233.51,0.012827,326.27,218.81,230.05,0.020217,0.019637,-0.61408,-0.10372,0.051384,0.043363,-0.014049,abnormal
-6.6047,-0.053664,5.3805,1.5918,0.53533,0.22175,-0.076351,0.034071,-0.078783,-12.185,1.6018,-0.23796,0.19771,0.55593,0.036983,-0.042671,0.023125,240.42,218.11,0.018246,289.68,169.26,242.53,0.017938,0.023078,-0.63951,-0.076567,0.066193,0.042784,-0.020426,abnormal
-7.0729,-0.24077,6.0949,1.3823,0.14774,-0.32559,0.077885,-0.23632,-0.020673,-11.328,1.9129,0.34186,-0.13591,-0.035617,-0.017758,-0.0081367,0.0008856,363.03,224,0.016364,393.08,219.68,208.43,0.016786,0.02122,-0.80401,-0.04011,0.056319,0.023507,-0.0077808,abnormal
-8.7678,0.035128,5.7166,1.1926,-0.12879,-0.080642,-0.25081,0.1557,-0.065982,-11.971,0.28096,-0.21227,0.051593,0.17566,-0.0079251,-0.055276,0.013123,336.17,304.7,0.011804,263.13,204.52,217.04,0.019361,0.018852,-0.94792,0.07109,-0.0086497,-0.034225,0.006061,abnormal
-13.07,0.11414,5.9045,1.4656,0.24499,-0.29174,0.19022,-0.0012636,-0.022132,-19.918,0.6896,0.16093,0.11173,0.18154,-0.027009,-0.057411,-0.01319,282.43,154.43,0.01864,289.04,175.3,228.17,0.017366,0.023692,-0.73461,-0.00065088,0.026407,0.010444,-0.0067485,normal
-6.7248,0.044936,5.619,1.5789,0.58257,0.16097,0.1343,0.30364,-0.077362,-13.94,1.7073,0.0062133,0.34414,0.25824,0.071531,-0.10117,-0.012318,399.64,209.45,0.016631,332.36,277.33,161.94,0.019827,0.019413,-0.72438,-0.018963,0.034508,0.019338,-0.014881,normal
-4.8349,-0.14168,6.3592,0.7723,-0.10589,-0.27631,0.30284,0.035169,-0.057869,-11.204,2.6636,0.33949,0.096634,0.036145,-0.034798,-0.026127,-0.013783,219.43,194.29,0.016392,333.71,209.14,260.57,0.016602,0.018903,-0.74656,-0.035401,0.043332,0.016279,-0.0063064,normal
-3.0776,-0.0059394,5.6583,1.4124,0.18824,0.029341,-0.069643,0.15391,-0.10584,-12.005,1.6796,-0.012452,0.076279,0.047947,-0.0043068,-0.11646,0.016284,323.78,184.89,0.016059,147.33,213.33,159.11,0.018826,0.017849,-0.74351,-0.01744,0.04437,0.013885,-0.011047,normal
-4.4671,-0.058841,5.6859,1.3314,0.49115,0.13553,0.10803,-0.11495,-0.044966,-15.133,2.3444,0.34648,0.088158,0.089573,-0.014547,-0.025255,-0.0045085,83.529,186.35,0.021293,290.35,195.14,218.98,0.015702,0.022327,-0.7384,-0.02685,0.05416,0.022559,-0.0061818,abnormal
-5.8129,0.3125,5.6056,1.3657,0.36847,0.16921,-0.079608,0.14055,-0.050032,-8.6594,1.5813,0.17749,0.24032,0.052234,-0.032651,-0.021235,0.010946,353.78,258.67,0.011393,334.44,226.67,266.67,0.01671,0.018446,-0.66078,-0.058595,0.028539,0.022018,0.00073154,abnormal
-6.4364,0.12712,5.243,1.5403,0.44234,0.21045,0.37604,0.25507,-0.064121,-8.7771,2.0427,0.34653,0.22283,0.041022,-0.014919,-0.035058,0.0063418,264.24,124.86,0.37263,153.65,110.43,117.96,0.34746,0.3516,1.19,0.97004,0.53659,0.46841,0.1643,abnormal
-20.375,0.083278,5.1845,1.5365,0.085283,0.07568,0.16519,0.15089,-0.052108,-21.795,0.91651,0.055055,0.10951,0.046027,-0.041988,-0.039348,-0.019516,1067.1,32,0.28064,1181.3,32,34.51,0.31342,0.25398,1.0799,0.89047,0.51633,0.4395,0.20306,abnormal
-4.5177,0.14515,5.6212,1.3816,0.3299,0.17122,0.053468,0.079631,-0.013514,-12.623,1.2813,0.23461,0.28438,0.30379,-0.071962,-0.055586,-0.0097032,202.91,239.71,0.01424,253.45,200.15,207.71,0.016229,0.022727,-0.60786,-0.067441,0.060973,0.037739,-0.012185,abnormal
-6.0958,0.4727,5.4226,1.3831,0.61996,0.2597,0.25669,0.16941,-0.064296,-14.65,1.3176,0.20375,0.17336,0.16557,-0.025384,-0.060871,0.0020522,167.14,225.52,0.013904,314.1,197.33,186.67,0.019578,0.018973,-0.56308,-0.094977,0.063706,0.039832,-0.015155,abnormal
-4.7748,0.032657,5.0439,2.0365,0.36801,0.35307,-0.1101,0.6463,-0.020759,-11.788,2.2776,0.5541,0.23045,0.067427,-0.018614,-0.041371,0.0098733,217.83,239.54,0.015737,212.11,226.74,190.17,0.01635,0.01942,-0.71181,-0.056792,0.050159,0.04053,-0.0097733,abnormal
-5.0036,0.074198,5.9639,1.0014,0.19683,0.12954,0.12958,0.065314,-0.050138,-9.3872,1.7102,0.14966,0.097344,0.17775,-0.037615,-0.044046,0.0026146,221.51,203.24,0.013777,354.7,254.27,240.43,0.012247,0.025813,-0.74548,-0.049941,0.061205,0.025403,-0.0067155,abnormal
-6.9958,0.15634,5.9663,0.97197,0.31009,0.01078,0.11615,0.16469,-0.081782,-14.992,1.7756,0.1089,0.17127,0.13345,-0.0031942,-0.075728,0.013525,473.95,94.439,0.018579,281.56,136.59,188.1,0.022151,0.024343,-0.68192,-0.031297,0.042785,0.012989,-0.0069228,normal
-9.8172,0.069982,5.5241,1.587,0.55806,0.22012,0.16425,0.1204,-0.036151,-17.472,1.8549,0.26917,0.16266,0.18689,-0.023407,-0.037295,-0.011904,261.17,176,0.018066,282.08,205.33,188.67,0.018392,0.023804,-0.58647,-0.060205,0.054896,0.031732,-0.0052405,normal
-9.0688,-0.055444,5.2002,1.9328,0.025102,-0.16992,-0.18106,0.059602,-0.030914,-11.624,-0.80536,-0.13956,0.13468,0.18826,-0.048294,-0.050644,0.0035785,492.62,161.23,0.013447,443.85,179.69,227.69,0.020132,0.019907,-0.66305,-0.096985,0.066437,0.040858,-0.011085,abnormal
-9.0035,0.38702,5.7049,1.5188,0.42894,-0.077869,0.33479,0.020595,-0.027612,-18.003,2.5185,0.6185,0.077978,0.006291,-0.0082634,-0.03946,-0.016399,292.21,182.74,0.015368,197.05,200.42,183.58,0.01619,0.017475,-0.48777,-0.059866,0.045494,0.03416,-0.00026772,abnormal
-4.2017,0.018386,5.6953,1.1817,0.035331,-0.11316,-0.19551,-0.016511,-0.061111,-10.295,1.4816,0.20158,0.31194,0.21552,0.0009897,-0.083816,0.013241,282.77,220.31,0.014423,304.92,290.46,289.23,0.014047,0.020433,-0.75305,-0.048895,0.050758,0.035507,-0.0048607,abnormal
