LPC_Coefficient5,LPC_Coefficient4,atomFreq6,atomFreq5,atomFreq7,atomFreq8,atomFreq9,atomFreq10,LPC_Coefficient6,atomFreq4,LPC_Coefficient9,atomFreq13,atomFreq3,LPC_Coefficient2,atomFreq11,LPC_Coefficient10,atomFreq14,atomFreq12,LPC_Coefficient8,atomFreq2,LPC_Coefficient14,atomFreq15,LPC_Coefficient15,atomFreq1,atomLen6,LPC_Coefficient11,atomLen7,atomLen5,atomLen8,LPC_Coefficient3,atomLen4,atomLen9,LPC_Coefficient7,atomLen1,atomLen11,LPC_Coefficient13,atomLen13,LPC_Coefficient12,atomLen3,atomLen10,atomPos4,atomPos3,atomLen2,atomPos1,atomPos2,atomAmp2,atomPos5,atomLen15,atomPos11,atomAmp1,atomAmp3,atomPos14,LPC_Coefficient16,atomLen14,atomLen12,atomPos6,atomPos15,atomPos8,atomPos12,atomAmp4,atomPos10,atomPos9,atomPos7,atomPos13,atomAmp5,atomAmp6,Class
0.083696,-0.0047608,0.021176,0.026521,0.025288,0.021998,0.018966,0.020302,0.10413,0.023335,0.0018256,0.022872,0.02683,-0.7047,0.021279,-0.0033773,0.023232,0.022255,0.034277,0.021587,0.0044065,0.023797,0.0075827,0.022821,122.95,-0.011569,143.16,125.47,130.53,-0.19931,114.53,145.68,0.073517,119.58,199.58,0.0023307,137.26,-0.0031285,87.579,132.21,472.42,200,132.21,65.684,42.316,3.5922,394.84,210.53,220.42,4.6176,2.8357,186.32,0.021487,185.26,159.16,288.11,296,230.32,279.16,2.1935,338.74,262.63,218.95,304.63,1.6885,1.3349,normal
0.013878,-0.07997,0.022252,0.018415,0.017439,0.015904,0.020926,0.018136,0.051439,0.014648,0.049061,0.018066,0.016323,-0.59124,0.017578,0.036552,0.020787,0.021275,0.055608,0.015276,-0.022344,0.026786,-0.0068925,0.01716,171.43,0.015441,198.86,182.86,205.71,-0.27806,190.86,195.43,0.057099,192,182.86,-0.022377,241.14,-0.0074968,140.57,234.29,237,344,201.14,424,230.86,4.1818,296.86,210.29,332.43,5.6769,2.2051,267.14,0.020234,192,218.29,475.71,371.86,298.86,315.86,1.9017,307.57,294.86,333.43,289.57,1.419,1.0737,normal
0.018167,-0.091804,0.012695,0.016036,0.016345,0.017784,0.01141,0.01506,0.071131,0.014648,0.043132,0.014648,0.014237,-0.54089,0.013929,0.018477,0.019531,0.021484,0.066508,0.01141,-0.012697,0.022101,-0.0054645,0.015419,162.53,0.0020503,176,175.16,229.89,-0.27315,190.32,203.79,0.081279,114.53,243.37,-0.012943,255.16,-0.0083557,202.11,179.37,411.37,484.63,188.63,54.105,465.26,3.8654,219.05,153.26,319.37,5.7435,2.7605,391.58,0.0093918,192,210.53,234.63,296.21,310.11,325.26,2.2529,410.84,357.26,277.68,415.79,1.8347,1.4735,abnormal
0.032378,-0.086128,0.014526,0.015808,0.015869,0.014526,0.016479,0.015076,0.083693,0.014526,0.050092,0.019531,0.013855,-0.58925,0.021057,0.016246,0.021729,0.020508,0.070538,0.016479,-0.019893,0.022949,-0.00080916,0.026367,210,-0.0048474,243,199,211,-0.28501,220,231,0.089146,126,189,-0.026084,230,-0.019924,235,167,255.12,277.75,186,47.5,212.5,2.8022,247.25,191,294.38,3.8567,2.0798,335.62,0.029457,201,222,347.12,306.12,368.5,298.25,1.7547,361.12,253,319.88,342,1.6298,1.3403,abnormal
-0.01222,-0.097496,0.01213,0.011667,0.011308,0.015985,0.014905,0.015419,0.036724,0.013055,0.036065,0.014751,0.013466,-0.57295,0.015831,0.02725,0.017784,0.018246,0.043821,0.013877,-0.0019936,0.019428,-0.0052889,0.012233,236.63,0.018746,176,254.32,231.58,-0.24328,274.53,195.37,0.04547,256,217.26,0.004055,202.95,0.010648,225.68,207.16,353.26,408.42,240.84,236.63,410.32,2.7237,306.74,267.79,440.95,3.5494,2.3118,395.37,-0.0045982,162.53,154.11,447.79,344.63,334.11,282.74,1.8016,435.16,371.47,436.95,371.05,1.6225,1.4156,abnormal
-0.014941,-0.10445,0.014365,0.013798,0.014302,0.016255,0.014617,0.01594,0.034136,0.015751,0.048671,0.014239,0.0093246,-0.50286,0.020917,0.030189,0.022114,0.017263,0.053584,0.016633,-0.0060233,0.019216,-0.0067566,0.0089466,218.84,0.020791,307.61,205.42,180.65,-0.24772,215.74,200.26,0.053175,156.9,239.48,0.00072113,157.94,0.010518,115.61,217.81,300.65,135.48,187.87,30.452,539.61,4.1179,325.68,213.68,305.29,6.9526,2.7874,317.03,-0.0020011,174.45,184.77,332.9,367.1,413.94,370.71,2.3492,329.42,311.48,288,301.42,1.859,1.6823,normal
0.057635,-0.059444,0.018606,0.016396,0.018298,0.017218,0.017681,0.01876,0.070013,0.018144,0.018842,0.018606,0.017064,-0.6618,0.017424,0.01284,0.019428,0.020868,0.034384,0.02205,-0.0087846,0.020816,-0.0069902,0.024568,157.47,0.0091326,187.79,211.37,238.32,-0.22,160,223.16,0.061723,180.21,219.79,-0.00023216,194.53,0.005843,168.42,236.63,215.16,117.26,160,652.21,445.89,2.0051,410.21,214.74,299.26,4.2183,1.5256,359.79,0.0080699,186.95,150.74,457.68,244.84,352.84,353.37,1.3011,316.63,324.53,350,352.53,1.0728,0.89459,abnormal
0.041044,-0.067242,0.016246,0.01527,0.014027,0.016069,0.012873,0.019176,0.07456,0.015891,0.030091,0.023082,0.017756,-0.56202,0.014382,0.015328,0.019709,0.02033,0.050319,0.021839,-0.012309,0.019531,-0.007337,0.021307,218.18,0.0065974,173.09,199.27,241.45,-0.2649,138.18,189.09,0.07114,192,256,-0.0081235,208,-0.00096237,162.91,184.73,181.64,242.55,142.55,8,106.91,3.3961,128.73,235.64,294.18,6.1358,2.3594,320.73,0.010941,178.91,200.73,253.27,333.27,367.27,206.91,2.1095,268.36,385.45,236.18,317.64,1.5717,1.3643,abnormal
0.097943,-0.0014201,0.018025,0.017801,0.014788,0.01942,0.016295,0.014174,0.10868,0.017076,0.012098,0.021931,0.016741,-0.80915,0.018248,-0.014263,0.023717,0.018583,0.035683,0.015737,-0.0050481,0.02221,0.011132,0.019308,167.31,-0.018029,178.29,196.57,169.14,-0.24953,138.97,196.57,0.073775,102.4,164.57,-0.010352,166.4,-0.021159,124.34,224.91,129.71,167.77,138.97,21.943,400.91,2.0386,188.11,164.57,343.66,4.1666,1.6327,303.2,0.031026,196.57,201.14,291.54,237.83,363.43,255.77,1.1488,294.29,310.4,310.86,298.29,0.87694,0.80522,normal
0.090286,-0.0037201,0.018608,0.013352,0.018643,0.019886,0.019247,0.016832,0.084896,0.012358,0.011927,0.021023,0.01527,-0.7612,0.019141,0.00092063,0.017578,0.0212,0.027924,0.01598,-0.0080065,0.023366,0.00076901,0.014702,183.85,-0.00051768,199.56,250.76,168.73,-0.1845,259.49,180.95,0.057271,198.98,158.84,-0.0097189,152.44,-0.0065216,148.95,180.95,176.29,292.22,138.47,69.382,194.33,4.5006,228.51,169.89,302.69,5.9724,3.6569,279.93,0.029199,181.53,197.24,258.04,224.29,300.51,238.91,2.4713,282.91,225.38,258.69,252.36,2.0527,1.7028,abnormal
-0.010452,-0.11802,0.014491,0.015436,0.018586,0.016885,0.016066,0.018019,0.042277,0.017263,0.048905,0.020665,0.015247,-0.6034,0.018397,0.036067,0.015688,0.013357,0.065184,0.015121,-0.015183,0.016066,-0.011114,0.023185,231.23,0.016701,241.55,190.97,244.65,-0.25804,161.03,218.84,0.065036,152.77,206.45,-0.010959,200.26,0.00031611,187.87,244.65,390.19,317.42,212.65,715.87,291.35,2.7171,329.03,170.32,393.94,4.1587,1.7109,312,0.0048171,221.94,218.84,405.94,442.84,473.81,485.03,1.3321,384,369.55,370.84,406.45,1.1256,0.92814,abnormal
0.017443,-0.075851,0.014952,0.010506,0.012796,0.020339,0.015019,0.016433,0.048668,0.018117,0.036732,0.01805,0.014345,-0.59646,0.017511,0.022356,0.016568,0.020946,0.049478,0.018858,-0.0010015,0.017848,-0.0041653,0.015086,194.21,0.010188,212.97,246.07,219.59,-0.21771,184.28,205.24,0.056842,169.93,205.24,0.00070907,232.83,0.0031646,228.41,220.69,354.62,151.17,123.59,41.655,41.379,3.0666,227.31,184.28,306.07,4.3751,1.4702,355.03,-0.0056879,207.45,235.03,340.69,418.34,258.9,206.34,1.1388,186.48,235.59,266.34,338.76,0.95961,0.85455,abnormal
0.051422,-0.046884,0.016474,0.018342,0.016474,0.014776,0.018852,0.018088,0.082923,0.019531,0.030412,0.015031,0.018173,-0.64183,0.019701,0.00097177,0.016219,0.022503,0.052323,0.018342,-0.0025494,0.021315,0.0074487,0.015455,274.09,-0.0047948,193.39,222.61,272.7,-0.25272,212.87,233.74,0.076151,130.78,182.26,-0.008703,187.83,-0.0096632,150.26,250.43,298.43,287.3,154.43,34.087,113.74,4.6768,361.74,226.78,400,5.8066,3.9598,297.74,0.018958,219.83,224,308.52,388.7,351.3,262.26,3.1921,412.17,237.22,226.78,526.61,2.6363,2.3383,abnormal
0.076865,0.03089,0.020264,0.024577,0.026204,0.029297,0.025879,0.022705,0.048831,0.017334,0.045767,0.030355,0.016032,-0.62044,0.032715,0.031659,0.02596,0.027588,0.040842,0.01888,0.0021761,0.03304,0.0090001,0.019531,230.67,0.018779,164,162.67,129.33,-0.15365,192,140,0.042691,96,114.67,-0.0041131,141.33,0.0015479,182.67,181.33,95.667,55.333,114.67,7.6667,21,3.6645,180,140,301.5,5.2948,2.2722,171.17,0.010642,196,117.33,209.5,267.17,225.5,217.5,1.8353,238.67,291.17,226,214,1.4688,1.3227,abnormal
-0.013289,-0.1013,0.011778,0.018348,0.017874,0.011896,0.013139,0.016098,0.03396,0.013909,0.043027,0.019709,0.013909,-0.50231,0.01888,0.033307,0.019768,0.016809,0.055242,0.014086,-0.0073906,0.022135,-0.0049516,0.014915,245.33,0.015134,174.55,153.21,155.15,-0.20158,226.91,210.42,0.053823,199.76,181.33,-0.0035646,189.09,0.0066902,203.64,221.09,246.06,199.52,174.55,311.52,254.79,3.3051,302.06,187.15,354.79,4.3953,2.0575,309.7,0.0029276,188.12,170.67,198.3,285.82,423.88,357.33,1.5566,291.76,187.64,259.52,365.58,1.3132,1.1923,normal
0.066767,-0.039611,0.013623,0.013818,0.01416,0.01167,0.013623,0.01543,0.093123,0.012207,0.020515,0.017578,0.015283,-0.75324,0.018018,0.0013548,0.017383,0.015918,0.048889,0.0146,-0.0040317,0.018652,0.0039003,0.012939,248.8,-0.0080146,198.4,219.2,174.4,-0.2695,224,185.6,0.078211,206.4,177.6,-0.0087709,186.4,-0.010811,208,192.8,330.9,398,187.2,173.8,414.6,4.0144,274.8,200.8,325.2,6.3055,2.9288,355.2,0.01172,208.8,210.4,227.8,367.3,421.4,393.6,2.4848,382.4,286.9,336.1,341.6,1.9678,1.682,abnormal
0.035239,-0.078417,0.012804,0.010471,0.019151,0.018338,0.016385,0.017904,0.055299,0.016493,0.042349,0.022732,0.02653,-0.4876,0.020074,0.026153,0.023872,0.021267,0.053078,0.022678,-0.012115,0.021484,-0.0099949,0.02322,200.89,0.013482,195.56,186.67,193.78,-0.16835,239.11,173.33,0.071153,129.78,143.11,-0.0084384,161.78,0.0029221,121.78,132.44,112,39.556,135.11,20.444,52.667,2.2481,190,174.22,227.22,6.9211,1.5476,217.89,0.0071266,144,133.33,168.44,319.56,194.44,259.11,1.1258,363.11,258.78,210.11,301.67,0.89808,0.76705,normal
0.038406,-0.063114,0.016992,0.015495,0.017383,0.019336,0.013477,0.019271,0.064855,0.014779,0.02937,0.016536,0.017513,-0.67212,0.017839,0.0123,0.015234,0.023047,0.050028,0.013997,-0.0097935,0.019206,-0.0020819,0.018359,233.6,0.015009,168.53,164.27,199.47,-0.18168,149.33,228.27,0.065049,224,209.07,-0.0058214,204.8,-0.010649,170.67,186.67,292,257.6,192,602.67,65.867,1.3808,474.4,202.67,340.4,2.3241,0.97159,396,0.01011,188.8,146.13,300,309.07,351.73,270.67,0.76763,337.33,232.67,334.67,362.4,0.70781,0.59507,normal
0.040149,-0.049886,0.016036,0.014854,0.018709,0.015625,0.018041,0.018246,0.069296,0.014597,0.028412,0.021741,0.015625,-0.57954,0.017732,0.014232,0.024311,0.022975,0.046926,0.016293,-0.0021409,0.021896,0.006494,0.016961,154.11,0.004127,212.21,142.32,165.05,-0.232,168.42,178.53,0.064486,197.05,189.47,-0.0043466,178.53,-0.0021562,179.37,197.89,224,200.21,173.47,365.26,186.74,4.0567,221.79,116.21,314.11,5.4807,2.6476,264.63,0.017274,154.95,201.26,250.32,279.26,257.68,230.53,2.2265,317.68,353.79,246.53,312.95,1.727,1.6301,normal
0.028858,-0.071277,0.015209,0.014004,0.015833,0.015459,0.013339,0.014046,0.075622,0.013298,0.031139,0.016955,0.010721,-0.60952,0.015916,0.007168,0.021277,0.015667,0.056602,0.012799,-0.0046332,0.019656,0.0068109,0.016955,239.66,-0.0074748,203.57,232.85,185.19,-0.26612,176.34,153.87,0.07659,151.15,205.62,-0.011552,200.17,-0.013505,300.26,165.45,220.26,139.06,215.15,180.26,385.02,3.4833,415.91,202.89,399.49,4.6568,2.5022,265.62,0.022032,189.28,238.98,331.91,355.49,348.09,389.28,1.9744,403.15,268.17,237.79,368.85,1.6288,1.3536,abnormal
0.17326,0.065552,0.017116,0.017013,0.016447,0.020713,0.019891,0.022924,0.14897,0.013569,-0.030055,0.01876,0.019994,-0.9395,0.020765,-0.040671,0.025493,0.027087,0.0080567,0.018041,0.0080733,0.025493,0.010886,0.023438,182.74,-0.027752,272,233.26,158.32,-0.27112,224.84,194.53,0.07641,224.84,181.89,0.0026398,218.95,-0.010165,139.79,189.47,216.84,468.74,183.58,116.42,156.42,2.3745,291.05,222.32,406.84,3.2156,1.8008,380.63,0.019199,177.68,209.68,421.37,380.32,340.53,342.84,1.5583,305.68,322.53,281.26,346.53,1.1689,1.0078,abnormal
0.065071,-0.05782,0.014587,0.016968,0.015747,0.016846,0.017334,0.018127,0.069368,0.017578,0.023263,0.016418,0.016663,-0.80717,0.020813,-0.0053192,0.018127,0.017273,0.042874,0.015747,-0.0056434,0.013916,0.01703,0.017944,242,-0.0045436,203,210,221,-0.14137,202,214,0.073578,118,195,-0.014491,211,-0.020856,202,207,275.75,507.75,145,12.25,284.38,2.4587,333.5,188,367.38,6.2433,2.0361,341.12,0.029873,230,215,238.25,422.88,321.88,430.25,1.6794,389.25,514.75,375.62,349.12,1.536,1.3537,normal
0.14945,0.041222,0.013607,0.017904,0.017122,0.013021,0.020508,0.014714,0.14423,0.017839,-0.020616,0.019727,0.020768,-0.90689,0.019141,-0.038401,0.01862,0.021549,0.022987,0.023047,0.012537,0.018424,0.019885,0.022005,250.67,-0.03784,185.6,187.73,221.87,-0.27671,234.67,238.93,0.08572,157.87,221.87,-0.0047896,203.73,-0.023548,213.33,215.47,273.33,156.53,168.53,86.933,129.6,2.5615,373.33,185.6,398.93,4.5975,1.6716,484.4,0.016134,201.6,198.4,365.6,407.07,321.07,290.67,1.3533,260.27,294.93,333.73,331.33,1.1523,1.0446,abnormal
0.019029,-0.086781,0.014743,0.011908,0.013735,0.012853,0.017641,0.013294,0.069737,0.013609,0.047833,0.019216,0.013609,-0.57919,0.01594,0.020542,0.017641,0.015688,0.067352,0.016066,-0.013219,0.023627,-0.0038699,0.014176,203.35,0.0019172,230.19,274.58,219.87,-0.27241,210.58,244.65,0.08034,196.13,199.23,-0.0155,172.39,-0.010411,199.23,219.87,199.35,192,187.87,84.645,172.9,3.9043,239.48,181.68,390.71,5.0415,3.1187,326.06,0.009953,193.03,203.35,306.45,261.29,326.71,356.9,2.6328,351.1,341.42,302.58,333.42,2.109,1.761,abnormal
0.023778,-0.070271,0.012756,0.015625,0.014893,0.014038,0.013184,0.015015,0.064567,0.013367,0.031087,0.020203,0.0092773,-0.64467,0.013611,0.015352,0.015747,0.016357,0.053999,0.013672,-0.0040723,0.017761,0.0035069,0.014526,208,4.48E-05,253,191,218,-0.22241,188,181,0.068858,206,231,-0.0066996,230,-0.0059173,180,167,161.5,278.5,186,44.25,338.5,3.4467,235.12,211,360.38,5.4563,2.7475,310.5,0.0090543,242,178,408.25,335.5,334.5,308.12,2.2602,399.25,340.75,349,377.62,1.8756,1.5301,normal
0.14056,0.056765,0.018898,0.020481,0.023174,0.021537,0.021326,0.020376,0.10393,0.013091,-0.0099149,0.02613,0.016575,-0.85074,0.022593,-0.0095662,0.024229,0.019056,0.0026907,0.02027,0.0025092,0.025918,0.0056726,0.022698,143.57,-0.0023664,161.73,156.54,174.7,-0.19834,170.38,161.73,0.057496,104.65,234.38,-0.0010158,201.51,-0.00080883,145.3,150.49,292.32,116.54,111.57,459.68,327.03,2.7567,400.11,216.22,414.27,3.7571,2.0033,327.46,0.024204,166.92,229.19,298.81,402.7,418.92,378.16,1.6096,414.7,471.14,343.35,372.97,1.3043,1.0883,abnormal
0.0075304,-0.093776,0.009641,0.01363,0.01363,0.011054,0.015293,0.015667,0.059668,0.013464,0.040586,0.02136,0.011095,-0.55701,0.016124,0.024528,0.017121,0.014586,0.061401,0.013215,-0.0094112,0.018991,-0.0060219,0.011386,181.11,0.0097459,245.11,215.15,190.64,-0.261,198.81,181.79,0.071354,196.09,212.43,-0.007452,160.68,-0.00092505,222.64,234.21,352.77,247.91,177.02,36.936,122.89,2.4435,299.06,247.83,321.79,5.8304,1.9195,484.43,0.0021818,209.7,220.6,206.81,310.3,355.49,302.64,1.6239,284,299.91,229.45,322.04,1.3895,1.0766,abnormal
0.033842,-0.092177,0.012441,0.013629,0.013757,0.016219,0.016474,0.016304,0.059646,0.014564,0.032598,0.019531,0.012525,-0.66629,0.017069,0.014118,0.02106,0.018257,0.048405,0.013205,-0.0071866,0.019616,0.00084121,0.013672,234.43,0.0039766,234.43,211.48,226.78,-0.21771,212.87,203.13,0.067479,247.65,215.65,-0.0071625,209.39,-0.0035635,275.48,188.52,301.91,205.74,229.57,287.3,313.74,3.0687,297.22,195.48,303.48,4.0075,2.4371,298.43,0.01343,198.96,201.74,311.83,362.52,261.65,301.57,1.9018,285.48,355.65,349.13,332.87,1.6034,1.3784,normal
0.052371,-0.041437,0.013783,0.015792,0.017188,0.015179,0.01596,0.0149,0.080821,0.011607,0.020414,0.015681,0.01423,-0.688,0.015067,0.0033249,0.017857,0.015848,0.047105,0.014063,-0.0012832,0.020313,0.0050645,0.015737,232.23,-0.0065856,202.06,218.51,163.66,-0.24744,273.37,231.31,0.071576,213.94,174.63,-0.0065444,231.31,-0.0090537,193.83,203.89,210.86,116.34,163.66,603.2,85.943,3.2478,314.06,191.09,345.49,4.8128,2.5677,392.23,0.011652,190.17,185.6,383.09,398.86,443.31,300.91,1.9124,390.86,275.43,376.91,270.74,1.5125,1.3101,abnormal
0.01856,-0.08955,0.012636,0.013034,0.015944,0.017857,0.016303,0.021803,0.058261,0.014589,0.046415,0.018774,0.010882,-0.59801,0.022959,0.027416,0.018375,0.019452,0.061399,0.015067,-0.010456,0.022122,-0.00074372,0.014549,161.31,0.0090963,240.98,237.71,184.82,-0.24372,196.57,193.96,0.069614,190.69,178.94,-0.01566,183.51,-0.0058699,315.43,193.96,211.76,235.92,227.27,241.31,394.61,3.4801,305.31,216.16,313.96,4.3568,2.6763,377.39,0.011388,186.78,164.57,326.69,311.43,391.02,368,2.1067,323.35,383.59,275.84,324.49,1.896,1.5136,abnormal
0.012212,-0.085326,0.012587,0.012695,0.016819,0.015788,0.013889,0.014648,0.049807,0.012316,0.031346,0.01964,0.011285,-0.64552,0.014106,0.022865,0.016168,0.013129,0.057506,0.011013,-0.0061908,0.021864,-0.0033843,0.011827,292.44,0.013702,197.33,216,184.89,-0.19951,217.78,187.56,0.060245,208,181.33,-0.0031667,186.67,0.0021084,240.89,182.22,214.67,214.22,247.11,42,218.22,3.5823,308.11,161.78,336.89,5.9131,2.9115,377.33,-0.0039004,169.78,111.11,275.33,358.78,266.89,326.56,2.4418,203.56,367.11,382.89,377.11,2.1177,1.8469,abnormal
0.089673,-0.022164,0.01958,0.017578,0.019043,0.018066,0.017725,0.017334,0.11049,0.015527,0.013437,0.022021,0.016797,-0.76799,0.018799,-0.0072199,0.023975,0.019434,0.044916,0.021387,-0.01219,0.022559,0.010435,0.01582,232.8,-0.017643,194.4,151.2,217.6,-0.27217,106.4,220.8,0.083874,147.2,259.2,-0.022527,203.2,-0.023025,96.8,232.8,313.4,29.2,142.4,20.8,611.2,5.0362,326.8,200,363.4,6.0062,2.9788,329.5,0.040498,158.4,224,230,266.3,292.6,301.8,2.3179,390.5,293.4,215.8,313.9,1.7659,1.3973,abnormal
